userid,text,create_at
1728875812,海尔应邀参加享誉国际的德国IFA展会，中美日韩意五国设计师亲临现场，向世界展示了代表未来前沿科技的创新家电！凭借多年的海外市场拓展，海尔品牌已被全世界消费者所熟识和喜爱，前所未有的设计体验和突破性的高端技术，再次打破了人们对中国制造的原有认知，很多人都由衷的对海尔竖起了大拇指！,2012/9/6 17:18:24
5109568813,转发微博,2014/4/21 16:31:27
2919663594,//@天齐滚热果决: 转发微博,2013/3/27 03:19:39
2804398602,//@天齐滚热果决: 转发微博,2013/3/26 19:28:02
1583272582,//@天齐滚热果决: 转发微博,2013/3/26 19:27:57
2920340264,//@烤着衣片辛亥: 转发微博,2013/3/25 14:15:17
1443892963,//@烤着衣片辛亥: 转发微博,2013/3/25 14:15:18
2808029942,//@谓手稿: 转发微博,2013/3/25 03:25:16
2919296254,//@谓手稿: 转发微博,2013/3/25 03:25:15
2803881490,//@烤着衣片辛亥: 转发微博,2013/3/24 20:56:49
2920502894,//@烤着衣片辛亥: 转发微博,2013/3/24 20:56:47
2919713790,//@谓手稿: 转发微博,2013/3/23 23:59:02
2920609000,//@谓手稿: 转发微博,2013/3/23 23:59:03
2920059920,//@有时泉之女都得: 转发微博,2013/3/22 05:32:40
2919285942,//@谓手稿: 转发微博,2013/3/18 05:36:29
1582871242,//@谓手稿: 转发微博,2013/3/17 00:44:34
2803355112,转发微博,2013/3/12 07:42:42
2919419690,//@割草主频传闻: 转发微博,2013/2/10 02:18:41
2803029600,//@割草主频传闻: 转发微博,2013/2/4 02:22:26
2919276182,//@割草主频传闻: 转发微博,2013/1/30 06:23:47
2919501404,//@割草主频传闻: 转发微博,2013/1/30 06:23:47
1583370381,//@割草主频传闻: 转发微博,2013/1/29 19:00:52
2805316364,//@割草主频传闻: 转发微博,2013/1/29 19:00:55
2054721575,转发微博。,2012/10/7 15:55:11
1886892422,[赞]以后家电考虑海尔。支持国货[亲亲],2012/9/21 23:41:51
2919598710,//@忘记时间619: 看中一款呢，想入手[可爱]////@飞鱼一泽: 第一次听说有水晶的耶 //@全球热门搜罗:大胡子设计师是海尔兄弟动画片里爷爷的真实版么！PS：水晶洗衣机真帅爆了！,2012/9/16 18:29:01
1778361945,//@钱谷卉: [v5]支持海尔，支持中国制造！ //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/16 15:51:09
1726383413,//@郎猫五次: 让技术革新来的更猛烈些吧。[拍手] //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/16 15:47:46
1583167131,//@慕容云朵的海角: 一个字：太棒了 //@全球热门收集:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/16 02:24:10
2919812332,//@沐暮霂: 看见海尔出现在展厅时倍感亲切和自豪 //@创意-博物馆:亲们睁大眼睛，看好 @海尔 ！搞不好哪天谁又蹦出来说海尔其实是谁谁的孩子！,2012/9/16 01:52:08
1439658903,//@啸健泽轮: 回复@灵交融:是啊，能够收到邀请，本身就是一种荣耀，一种进步~ //@灵交融:德国IFA展会，貌似这个是比较权威的。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/15 21:38:05
2919618780,//@忘记时间619: 崇洋媚外呗 //@全球大百科:真心不明白为什么有些人只挑所谓的国外名牌，现在国外都用 @海尔,2012/9/15 19:41:27
2919612290,//@忘记时间619: 看中一款呢，想入手[可爱]////@飞鱼一泽: 第一次听说有水晶的耶 //@全球热门搜罗:大胡子设计师是海尔兄弟动画片里爷爷的真实版么！PS：水晶洗衣机真帅爆了！,2012/9/15 19:21:14
1777200010,//@岸边灯火: 回复@夜幕同学:我家里的电器一直都是海尔的，有的比我年纪还大！ //@夜幕同学:海尔的品质信得过。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/14 21:30:02
1140590423,//@伍仴份: [右边亮了]钓鱼岛是中国的！[带感]亮了哈！！ //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/14 20:41:50
2920506822,//@没有忘记的事: 钓鱼岛永远是中国的！！！！海尔也永远是中国滴！！！！ //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/14 01:46:59
1777191832,//@灵交融: 德国IFA展会，貌似这个是比较权威的。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/13 22:00:25
1949729710,转发微博,2012/9/13 19:09:06
1778407462,//@孤独狼w: 回复@邹娣维:支持一下，鼓励一下，继续加油吧[加油] //@邹娣维:[lxhx奋斗]海尔的进步我们每个人都能看到。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/13 15:46:20
1777507562,//@良奇连勇: 如同海尔一样，钓鱼岛是中国的！孔子也是中国的！而且MADE IN CHINA将不再代表山寨货！ 说的真好啊！[顶][顶][顶][顶][赞][赞][赞][赞] //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/13 13:54:44
1589654383,//@灵交融: 德国IFA展会，貌似这个是比较权威的。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/12 22:02:08
2039500284,右边说得好！！//@左岸danven: 前些天在德国看了IFA展会，看见海尔出现在展厅时倍感亲切和自豪！当时还想去和设计师们握手，特别想对日韩欧美的朋友说：如同海尔一样，钓鱼岛是中国的！孔子也是中国的！而且MADE IN CHINA将不再代表山寨货！,2012/9/12 18:17:30
1725763701,//@孤独狼w: 回复@邹娣维:支持一下，鼓励一下，继续加油吧[加油] //@邹娣维:[lxhx奋斗]海尔的进步我们每个人都能看到。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/12 16:00:08
1247632982,[给力][赞],2012/9/12 15:37:01
1727973834,//@SVT同学要爆发: MADE IN CHINA！,2012/9/12 15:04:13
1778285890,//@良奇连勇: 如同海尔一样，钓鱼岛是中国的！孔子也是中国的！而且MADE IN CHINA将不再代表山寨货！ 说的真好啊！[顶][顶][顶][顶][赞][赞][赞][赞] //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/12 14:06:48
2313700774,最懂我们的电视就是这样的海尔电视啊。,2012/9/11 13:54:18
2557200184,太自豪了，太骄傲了，拥有这样的海尔感觉好幸福的感受.,2012/9/11 13:53:30
2385737873,现在我们的海尔就是被外国认为就是最好的！[圣诞树],2012/9/11 13:53:06
2553587484,在德国IFA展中国的海尔就是这样的让我们一直的都喜欢着。,2012/9/11 13:51:50
2477658282,国产的品牌现在感觉才是最棒的哦，支持海尔！,2012/9/11 13:51:24
2559255324,当然就是最给力的最好的海尔电视支持永远！,2012/9/11 13:50:38
2346229843,真的是太高科技了，好喜欢这样的感觉啊。,2012/9/11 13:49:48
2558615590,当看到了这样的海尔视界真的在好了，支持吧！,2012/9/11 13:49:00
1780353162,好吸引人的一个海尔的电视啊，我也想看看。[抱抱],2012/9/11 13:48:35
2543035501,//@海尔电视: 海尔电视在IFA展上最为吸引“眼球”，视控操作让海尔电视成为最智能、最懂你的电视！,2012/9/11 13:35:46
1744214344,海尔电视在IFA展上最为吸引“眼球”，视控操作让海尔电视成为最智能、最懂你的电视！,2012/9/11 10:58:36
2178992130,顶！,2012/9/11 10:47:02
2964208850,中国创造不是一个梦,中国企业加油,钓鱼岛是中国人的!////@左岸danven: 前些天在德国看了IFA展会，看见海尔出现在展厅时倍感亲切和自豪！当时还想去和设计师们握手，特别想对日韩欧美的朋友说：如同海尔一样，钓鱼岛是中国的！孔子也是中国的！而且MADE IN CHINA将不再代表山寨货！,2012/9/11 08:35:24
2803840620,//@小番鼠shu: MADE IN CHINA！MADE IN CHINA！！ //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/11 05:29:43
2803271390,//@邹娣维: [lxhx奋斗]海尔的进步我们每个人都能看到。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/11 04:42:06
2790095440,//@戴林彩: 果然竖起了大拇指，牛啊。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 22:14:37
2790094912,//@UejRegan冰: 转发微博,2012/9/10 22:12:32
2789748572,//@皇家R球迷: 回复@暗夜游侠e:真的很给力哈~~[给力] //@暗夜游侠e:高科技又一次融入了生活，现在科技无处不在了。。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 15:35:34
2789825930,//@大兜观平: 海尔这次发力了，不过这是一直以来努力的厚积薄发。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 15:14:23
2789775704,//@暗夜游侠e: 高科技又一次融入了生活，现在科技无处不在了。。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 14:46:24
2789712514,//@陈佳琳幸福: 回复@棒夹:水晶洗衣机？挺有趣的！ //@棒夹:这个头一次看到啊，很炫哈。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 14:28:49
2789768614,//@苏保泰: 海尔，中国的世界的！//@全球时尚创意: 水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！ //@左岸danven: 前些天在德国看了IFA展会，看见海尔出现在展厅时倍感亲切和自豪！当时还想去和设计师们握手，特别想对日韩欧美的朋友说：。。。。。。,2012/9/10 14:27:19
2789806082,//@刘秋风88: 真的是很不错的呀！！//@夜幕同学：海尔的品质信得过。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 14:03:48
2789759164,//@热情欢喜冤家: [笑哈哈]科技当然要以人为本了！[酷]暗夜游侠e：高科技又一次融入了生活，现在科技无处不在了。。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 13:45:56
2789757720,//@水暖工nuan: 回复@小番鼠shu:希望以后这个能代表一种让人称赞的标语。 //@小番鼠shu:MADE IN CHINA！MADE IN CHINA！！ //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 13:40:58
2789799180,//@田畅昆: 回复@曹丰斌:真的不容易，做一件事容易，改变人家的观念太难了！[顶] //@曹丰斌:中国的品质终于不代表山寨了，这不得不说是一个巨大的进步呢。 //@全球时尚创意:水晶洗衣机真的很炫诶！用 @海尔 的高科技做家务，劳动俨然变享受！,2012/9/10 13:39:57
