id,screen_name,friends_count,followers_count,statuses_count,gender,location,description
1728875812,海尔,267,98836,6038,m,山东 青岛,你的生活智慧，我的智慧生活！
5109568813,番茄2014炒蛋,73,3,9,m,福建 福州,
2919663594,2B中额钻斗鸡璇珠1980,481,288,3988,f,其他,
2804398602,传奇黑钢,505,255,4161,m,其他,
1583272582,大帅哥高芬,425,310,4180,m,辽宁 鞍山,
2920340264,勤奋的灰原哀1981,455,255,4051,m,其他,
1443892963,V5锦程,583,353,4103,m,甘肃 嘉峪关,
2808029942,双子小牧爱佳,473,276,4159,m,其他,
2919296254,09管四兼班飞沉1986,549,297,4046,m,其他,
2803881490,V5八重野抚子,598,297,4188,m,其他,
2920502894,围脖小小象1987,623,299,4027,m,其他,
2919713790,2且不文艺书萱1992,542,301,4068,f,其他,
2920609000,大姑娘中野梓1983,542,285,4049,f,其他,
2920059920,专家谷本夏1990,545,346,4088,f,其他,
2919285942,02电编建安1993,532,195,4141,m,其他,
1582871242,在江湖高雅,551,383,4221,f,山东 东营,
2803355112,honey木之坂雾乃,497,249,4170,m,其他,
2919419690,14岁看ELLE曼文1983,520,354,4079,f,其他,
2803029600,black黄金archer,438,332,4173,m,其他,
2919276182,07文编秀婉1994,568,295,4033,f,其他,
2919501404,18只cp翰学1984,412,238,4070,m,其他,
1583370381,大美人华采,63,206,2524,m,四川 眉山,
2805316364,关于岩濑恭子,545,336,4200,m,其他,
2054721575,辉1969,73,155,881,f,北京,
1886892422,吞吞在加速,332,316,709,f,海外 德国,真性情，做自己！
2919598710,22的射手红艳1992,525,282,4044,f,其他,
1778361945,18岁的华池Whitney,568,424,4156,f,浙江 舟山,
1726383413,依美Becky,43,246,2515,f,上海 普陀区,
1583167131,大姑娘嘉年,472,350,4254,m,广东 汕尾,
2919812332,coolgirl苇原千寻1987,404,283,4052,m,其他,
1439658903,热带鱼2002,543,374,4211,f,北京 崇文区,
2919618780,263聊天室霞文1994,516,285,4021,f,其他,
2919612290,24年减肥史承嗣1995,485,283,4046,f,其他,
1777200010,18岁的俊力Amy,542,363,4093,m,台湾,
1140590423,18岁的涵容,497,388,4216,f,四川 成都,
2920506822,在唱歌阿斯兰1984,630,251,4010,m,其他,
1777191832,18岁的俊侠Losa,523,343,4145,m,吉林 松原,
1949729710,滁州国生邬郑沆小海尔,196,300,995,m,安徽 滁州,我就是邬郑沆小海尔,其他自己想.
1778407462,18岁的华采Call,537,418,4165,f,重庆 铜梁县,这个家伙很懒
1777507562,18岁的俊晤Macy,449,392,4114,f,广西 北海,
1589654383,彭娜高档,518,316,4147,m,云南 昆明,
2039500284,Take_You-,188,449,5606,m,上海 宝山区,我 在这
1725763701,零度面,516,409,4180,f,云南 昭通,
